Autor,Obra
Albeniz,Iberia Suite Book I 1 Evocacion Ab minor
Albeniz,Iberia Suite Book I 2 El Puerto Db major
Albeniz,Iberia Suite Book II 3 Triana F# minor
Albeniz,Iberia Suite Book III 1 El Albaicin Bb minor
Albeniz,Iberia Suite Book III 2 El Polo F minor
Albeniz,Iberia Suite Book III 3 Lavapies Db major
Albeniz,Iberia Suite Book IV 2 Jerez E minor
Albeniz,Iberia Suite Book IV 3 Eritana Eb major
Albeniz,Suite Espanola 1 Granada Op47 E major
Albeniz,Suite Espanola 2 Cataluna Op47 G minor
Albeniz,Suite Espanola 3 Sevilla Op47 G major
Albeniz,Suite Espanola 4 Cadiz Op47 C# major
Albeniz,Suite Espanola 6 Aragon Op47 F major
Albeniz,Suite Espanola 8 Cuba Op47 Eb major
Arnold,Scottish Dances 2 Vivace Eb major
Arnold,Scottish Dances 3 Allegretto F major
Bach,Allein Gott in der Hoh sei Ehr BWV664 A major
Bach,Allein Gott in der Hoh sei Her BWV711 C major
Bach,Aria or Trio bwv587 F major
Bach,Chromatic Fantasy and Fugue BWV 903 Fantasy D minor
Bach,Chromatic Fantasy and Fugue BWV 903 Fugue D minor
Bach,Concerto 1 BWV972 I D major
Bach,Concerto 2 BWV973 I G major
Bach,Concerto after Vivaldi BWV593 i A minor
Bach,Concerto after Vivaldi BWV596 Allegro D minor
Bach,Concerto and Fugue BWV909 Concerto C minor
Bach,Duetto no 2 from Clavier Ubung III BWV803 F major
Bach,English Suite 2 Gigue A minor
Bach,English Suite 3 Courante G minor
Bach,English Suite No 1 Bouree A major
Bach,English Suite No 1 Courante II A major
Bach,English Suite No 1 Gigue A major
Bach,English Suite No 2 courante A minor
Bach,English Suite No 2 Prelude A minor
Bach,English Suite No 3 Gavotte I G minor
Bach,English Suite No 3 Gigue G minor
Bach,English Suite No.1 Courante 1 A major
Bach,English Suite No.1 Courante II Double A major
Bach,Fantasy and Fugue bwv537 Fugue C minor
Bach,Fantasy and Fugue BWV542 Fugue G minor
Bach,Fantasy and Fugue BWV562 Fantasy C minor
Bach,Fantasy and Fugue BWV904 Fantasy A minor
Bach,Fantasy BWV917 G minor
Bach,French Overture BWV831 Echo B minor
Bach,French Overture BWV831 Passapied B minor
Bach,French Suite No 2 Courante C minor
Bach,French Suite No 2 Gigue C minor
Bach,Fugue BWV 577 G major
Bach,Fugue BWV 578 G minor
Bach,Fugue BWV947 A minor
Bach,Fugue BWV958 A minor
Bach,Fugue BWV959 A minor
Bach,Herr wie du willt so schicks mit mir BWV 73 Herr so du willt B minor
Bach,Ich will den Kreuzstab gerne tragen BWV 56 Ich will den Kreuzstab gerne tragen G minor
Bach,Jauchzet Gott in allen Landen BWV 51 Jauchzet Gott in allen Landen C major
Bach,Kyrie Gott Vater in Ewigkeit BWV669 Eb major
Bach,Little Prelude and Fugue BWV553 Prelude C major
Bach,Little Prelude and Fugue BWV555 Fugue E minor
Bach,Little Prelude and Fugue BWV558 Prelude G minor
Bach,Little Prelude BWV934 C minor
Bach,Meine Seufzer meine Tranen BWV 13 Achzen und erbarmlich Weinen G minor
Bach,Nun freut euch lieben Christen gmein BWV734 G major
Bach,Organ Trio bwv585 C minor
Bach,Orgelbuchlein BWV608 In dulci jubilo A major
Bach,Orgelbuchlein BWV615 In dir ist Freude G major
Bach,Partita no 1 bwv825 Minuet Bb major
Bach,Partita no 2 bwv826 Prelude C minor
Bach,Partita no 4 bwv828 Gigue D major
Bach,Partita no 4 bwv828 Sarabande D major
Bach,Partita no 5 bwv829 Prelude G major
Bach,Partita no 6 bwv830 Gigue E minor
Bach,Partita no 6 bwv830 Prelude E minor
Bach,Prelude and Fugetta BWV900 Fugue E minor
Bach,Prelude and Fugue BWV 535 Fugue G minor
Bach,Prelude and Fugue BWV 547 Prelude C major
Bach,Prelude and Fugue BWV 549 Fugue C minor
Bach,Prelude and Fugue BWV532 Prelude D major
Bach,Prelude and Fugue bwv534 Prelude F minor
Bach,Prelude and Fugue BWV541 Fugue G major
Bach,Prelude and Fugue bwv545 Fugue C major
Bach,Prelude and Fugue bwv548 Prelude E minor
Bach,Prelude and Fugue BWV550 Fugue G major
Bach,Prelude BWV922 C minor
Bach,Schubler Chorales BWV645 Wachet auf ruft uns die Stimme Eb major
Bach,Schubler Chorales BWV649 Ach bleib bei uns Herr Jesu Christ Bb major
Bach,Schubler Chorales BWV650 Kommst du nun Jesu vom Himmelherunter G major
Bach,Sonata BWV 967 A minor
Bach,Sonata BWV963 I D major
Bach,Sonata BWV963 III Fugue D major
Bach,Sonata BWV965 II fugue A minor
Bach,Sonata BWV965 VII Gigue A minor
Bach,Sonata BWV966 II Fugue C major
Bach,Suite BWV 818 Gigue A minor
Bach,Suite BWV 819a Allemande Alternate Eb major
Bach,Suite BWV832 Allemande A major
Bach,Tocatta Adagio and Fugue bwv564 Tocatta C major
Bach,Toccata and Fugue bwv538 Toccata D minor
Bach,Toccata and Fugue bwv566 Fugue E major
Bach,Toccata and Fugue bwv566 Toccata E major
Bach,Trio super Herr Jesu Christ dich zu uns wend BWV655 G major
Bach,Wenn wir in hochsten Noten sein BWV688 G major
Bach,WTC 1.15 Fugue G major
Bach,WTC 1.24 Fugue B minor
Bach,WTC 1.4 Fugue C# minor
Bach,WTC 1.7 Prelude Eb major
Bach,WTC 1.8 Fugue D# minor
Bach,WTC 2.10 Fugue E minor
Bach,WTC 2.12 Prelude F minor
Bach,WTC 2.13 Fugue F# major
Bach,WTC 2.13 Prelude F# major
Bach,WTC 2.15 Prelude G major
Bach,WTC 2.16 Fugue G minor
Bach,WTC 2.17 Fugue Ab major
Bach,WTC 2.18 Fugue G# minor
Bach,WTC 2.18 Prelude G# minor
Bach,WTC 2.20 Prelude A minor
Bach,WTC 2.21 Fugue Bb major
Bach,WTC 2.21 Prelude Bb major
Bach,WTC 2.5 Fugue D major
Bach,WTC 2.7 Fugue Eb major
Bach,WTC 2.7 Prelude Eb major
Bargy,Behave yourself F major
Bargy,JustinTyme C major
Bargy,Slipova Ab major
Barnard,The Pals Eb major
Bartok,Allegro Barbero F# minor
Bartok,Concerto for Orchestra 2 Giuoco delle coppie D major
Bartok,Romanian Folk Dances 1 Der Tanz mit dem Stabe A minor
Bartok,Suite 1 Allegretto Bb major
Bartok,Ten Easy Piano Pieces 10 Bear Dance No10 D minor
Beethoven,Bagatelles Op 119 1 G minor
Beethoven,Bagatelles Op 126 1 G major
Beethoven,Bagatelles Op 126 5 G major
Beethoven,Bagatelles Op 33 1 Eb major
Beethoven,Bagatelles Op 33 3 F major
Beethoven,Bagatelles Op 33 5 C major
Beethoven,Bagatelles Op 33 6 D major
Beethoven,Beethoven Sonata 1 iii Op 2 no 1 F minor
Beethoven,Beethoven Sonata 10 i Op 14 no 2 G major
Beethoven,Beethoven Sonata 10 ii Op 14 no 2 C major
Beethoven,Beethoven Sonata 11 ii Op 22 Eb major
Beethoven,Beethoven Sonata 11 iii Op 22 Bb major
Beethoven,Beethoven Sonata 11 iv Op 22 Bb major
Beethoven,Beethoven Sonata 3 ii Op 2 no 3 E major
Beethoven,Beethoven Sonata 4 ii Op 7 C major
Beethoven,Beethoven Sonata 5 ii Op 10 no 1 Ab major
Beethoven,Beethoven Sonata 6 iii Op 10 no 2 F major
Beethoven,Beethoven Sonata 7 ii Op 10 no 3 D minor
Beethoven,Beethoven Sonata 7 iii Op 10 no 3 D major
Beethoven,Beethoven Sonata 7 iv Op 10 no 3 D major
Beethoven,Beethoven Sonata 9 iii Op 14 no 1 E major
Beethoven,Cadenza WoO58 to Mozart D minor Concerto iii
Beethoven,Contradances for orchestra WoO14 1 C major
Beethoven,Contradances for orchestra WoO14 3 C major
Beethoven,Flute Sonata Anh 4 ii Bb major
Beethoven,Flute Sonata Anh 4 iii Eb major
Beethoven,Lied Op 48 vi Busslied A major
Beethoven,Lied Op 52 iv Maigesang Eb major
Beethoven,Mandolin Sonata WoO 44a C major
Beethoven,Mass in C Op 86 i Kyrie C major
Beethoven,Mass in C Op 86 iv Sanctus A major
Beethoven,Piano Concerto #1 Op 15 ii Ab major
Beethoven,Piano Concerto #2 Op 19 ii Eb major
Beethoven,Piano Concerto #5 Op 73 ii B major
Beethoven,Piano Sonata Four Hands Op 6 i D major
Beethoven,Polonaise Op 89 C major
Beethoven,Prelude WoO55 F minor
Beethoven,Preludes Op 39 2 C major
Beethoven,Rondo Op 51 1 C major
Beethoven,Rondo Op 51 2 G major
Beethoven,Rondo WoO49 A major
Beethoven,Sextet Op 71 iii Eb major
Beethoven,Sextet Op 71 iv Eb major
Beethoven,Sonata 12 i Op 26 Ab major
Beethoven,Sonata 12 ii Op 26 Ab major
Beethoven,Sonata 12 iii Op 26 Ab minor
Beethoven,Sonata 12 iv Op 26 Ab major
Beethoven,Sonata 13 i Op 27 no 1 Eb major
Beethoven,Sonata 13 ii Op 27 no 1 C minor
Beethoven,Sonata 13 iii Op 27 no 1 Ab major
Beethoven,Sonata 14 ii Op 27 no 2 Db major
Beethoven,Sonata 15 ii Op 28 D minor
Beethoven,Sonata 17 ii Op 31 no 2 Bb major
Beethoven,Sonata 19 i Op 49 no 1 G major
Beethoven,Sonata 20 ii Op 49 no 2 G major
Beethoven,Sonata 22 i Op 54 F major
Beethoven,Sonata 23 ii Op 57 Db major
Beethoven,Sonata 24 i Op 78 F# major
Beethoven,Sonata 24 ii Op 78 F# major
Beethoven,Sonata 25 iii Op 79 G major
Beethoven,Sonata 28 i Op 101 A major
Beethoven,Sonata 29 ii Op 106 Bb major
Beethoven,Sonata 29 iv Op 106 D major
Beethoven,Sonata 31 i Op 110 Ab major
Beethoven,Sonata 31 ii Op 110 F minor
Beethoven,Sonatina Anh 5 1 ii G major
Beethoven,Sonatina Anh 5 2 ii F major
Beethoven,String Quartet #1 Op 18 1 ii D minor
Beethoven,String Quartet #10 Op 74 ii Ab major
Beethoven,String Quartet #11 Op 95 ii D major
Beethoven,String Quartet #11 Op 95 iv F minor
Beethoven,String Quartet #13 Op 130 iii Db major
Beethoven,String Quartet #14 Op 131 i C# minor
Beethoven,String Quartet #15 Op 132 iv A major
Beethoven,String Quartet #16 Op 135 i F major
Beethoven,String Quartet #3 Op 18 3 ii Bb major
Beethoven,String Quartet #6 Op 18 6 iii Bb major
Beethoven,String Quartet #6 Op 18 6 iv Bb major
Beethoven,Symphony #1 Op 21 ii F major
Beethoven,Symphony #2 Op 36 ii A major
Beethoven,Symphony #3 Op 55 i Eb major
Beethoven,Symphony #3 Op 55 ii C minor
Beethoven,Symphony #5 Op 67 ii Ab major
Beethoven,Three Marches Op 45 ii Eb major
Beethoven,Three Marches Op 45 iii D major
Beethoven,Turkish March from Op 113 Bb major
Beethoven,Variation Op 34 last var in F major
Beethoven,Variations WoO70 G major
Beethoven,Variations WoO74 D major
Beethoven,Variations WoO77 G major
Beethoven,Violin Concerto Op 61 ii G major
Beethoven,Violin Sonata #1 Op 12 No 1 ii A major
Beethoven,Violin Sonata #2 Op 12 No 2 ii A minor
Beethoven,Violin Sonata #3 Op 12 No 3 ii C major
Beethoven,Violin Sonata #3 Op 12 No 3 iii Eb major
Beethoven,Violin Sonata #4 Op 23 ii A major
Beethoven,Violin Sonata #5 Op 24 ii Bb major
Beethoven,Violin Sonata #5 Op 24 iii F major
Beethoven,Violin Sonata #7 Op 30 No 2 ii Ab major
Beethoven,Violin Sonata #7 Op 30 No 2 iii C major
Berthomieu,Suite Romantique pour Flute et Piano 1 Allegro Moderato E minor
Berthomieu,Suite Romantique pour Flute et Piano 3 Menuet Grave C major
Berthomieu,Suite Romantique pour Flute et Piano 4 Presto E major
Billi,Campane a sera Evening Bells Ab major
Billi,Fete au Village Op201 C major
Bloch,Concerto Grosso for Strings with Piano Obligato 1 Prelude No1 D minor
Bloch,Concerto Grosso for Strings with Piano Obligato 4 Fugue No1 G minor
Bohm,The Fountain Op221 G major
Busoni,Indianisches Tagebuch Vier Klavierstudien uber Motive der Rothaute Amerikas 4 Maestoso ma andando D major
Cardillo,Core Ingrato Eb major
Casadesus,Allegro Casadesus B Minor
Casadesus,Andante Casadesus B Minor
Casella,Pupazzetti Five Pieces for Puppets for Piano Four Hands 3 Serenata C major
Chopin,Berceuse 57 Db Major
Chopin,Etude 10 10 Ab Major
Chopin,Etude 10 11 Eb Major
Chopin,Etude 10 12 C Minor
Chopin,Etude 10 2 A Minor
Chopin,Etude 10 3 E Major
Chopin,Etude 10 4 C# Minor
Chopin,Etude 10 6 Eb Minor
Chopin,Etude 10 8 F Major
Chopin,Etude 25 11 A Minor
Chopin,Etude 25 12 C Minor
Chopin,Etude 25 2 F Minor
Chopin,Etude 25 5 E Minor
Chopin,Etude 25 6 G# Minor
Chopin,Etude X 3 Db Major
Chopin,FantaisieImpromptu 66 C# Minor
Chopin,Fugue A Minor
Chopin,Impromptu 51 Gb Major
Chopin,Mazurka 17 1 Bb Major
Chopin,Mazurka 17 3 Ab Major
Chopin,Mazurka 17 4 A Minor
Chopin,Mazurka 24 1 G Minor
Chopin,Mazurka 24 2 C Major
Chopin,Mazurka 24 3 Ab Major
Chopin,Mazurka 24 4 Bb Minor
Chopin,Mazurka 30 3 Ab Major
Chopin,Mazurka 30 4 C# Minor
Chopin,Mazurka 33 1 G# Minor
Chopin,Mazurka 33 2 D Major
Chopin,Mazurka 33 4 B Minor
Chopin,Mazurka 41 1 C# Minor
Chopin,Mazurka 41 2 E Minor
Chopin,Mazurka 41 4 Ab Major
Chopin,Mazurka 50 1 G Major
Chopin,Mazurka 50 2 Ab Major
Chopin,Mazurka 50 3 C# Minor
Chopin,Mazurka 56 1 B Major
Chopin,Mazurka 56 3 C Minor
Chopin,Mazurka 59 1 A Minor
Chopin,Mazurka 59 2 Ab Major
Chopin,Mazurka 59 3 F# Minor
Chopin,Mazurka 6 1 F# Minor
Chopin,Mazurka 63 1 B Major
Chopin,Mazurka 63 3 C# Minor
Chopin,Mazurka 67 4 A Minor
Chopin,Mazurka 68 2 A Minor
Chopin,Mazurka 7 1 Bb Major
Chopin,Mazurka 7 2 A Minor
Chopin,Mazurka 7 3 F Minor
Chopin,Mazurka IIb 4 A Minor
Chopin,Nocturne 15 1 F Major
Chopin,Nocturne 15 2 F# Major
Chopin,Nocturne 15 3 G Minor
Chopin,Nocturne 27 1 C# Minor
Chopin,Nocturne 27 2 Db Major
Chopin,Nocturne 32 1 B Major
Chopin,Nocturne 32 2 Ab Major
Chopin,Nocturne 37 1 G Minor
Chopin,Nocturne 37 2 G Major
Chopin,Nocturne 48 1 C Minor
Chopin,Nocturne 48 2 F# Minor
Chopin,Nocturne 55 1 F Minor
Chopin,Nocturne 55 2 Eb Major
Chopin,Nocturne 62 1 B Major
Chopin,Nocturne 62 2 E Major
Chopin,Nocturne 72 1 E Minor
Chopin,Nocturne 9 1 Bb Minor
Chopin,Nocturne 9 2 Eb Major
Chopin,Nocturne 9 3 B Major
Chopin,Nocturne Posthumous 20 C# Minor
Chopin,Piano Concerto 11 1 II E Minor
Chopin,Polish Song 74 10 Ab Major
Chopin,Polish Song 74 12 Gb Major
Chopin,Polish Song 74 13 A Minor
Chopin,Polish Song 74 15 C Minor
Chopin,Polish Song 74 17 Eb Minor
Chopin,Polish Song 74 3 F# Minor
Chopin,Polish Song 74 4 C Major
Chopin,Polish Song 74 8 D Major
Chopin,Polonaise 26 1 C# Minor
Chopin,Polonaise 26 2 Eb Minor
Chopin,Polonaise 40 3 A Major
Chopin,Polonaise 40 4 C Minor
Chopin,Polonaise 53 6 Ab Major
Chopin,Polonaise 71 8 D Minor
Chopin,Polonaise 71 9 Bb Major
Chopin,Polonaise Posthumous 13 Ab Major
Chopin,Polonaise Posthumous 14 G# Minor
Chopin,Polonaise Posthumous 15 Bb Minor
Chopin,Prelude 28 12 G# Minor
Chopin,Prelude 28 13 F# Major
Chopin,Prelude 28 15 Db Major
Chopin,Prelude 28 17 Ab Major
Chopin,Prelude 28 24 D Minor
Chopin,Prelude 28 4 E Minor
Chopin,Prelude 45 25 C# Minor
Chopin,Sonata 35 2 III Bb Minor
Chopin,Sonata 35 2 IV Bb Minor
Chopin,Sonata 58 3 III B Minor
Chopin,Variations E Major
Chopin,Waltz 343 4 F Major
Chopin,Waltz 64 2 C# Minor
Chopin,Waltz 641 6 Db Major
Chopin,Waltz 642 7 C# Minor
Chopin,Waltz 643 8 Ab Major
Chopin,Waltz 691 9 Ab Major
Chopin,Waltz 692 10 B Minor
Chopin,Waltz 701 11 Gb Major
Chopin,Waltz 702 12 F Minor
Chopin,Waltz 703 13 Db Major
Chopin,Waltz Posthumous 15 E Major
Chopin,Waltz Posthumous 16 Ab Major
Chopin,Waltz Posthumous 17 Eb Major
Chopin,Waltz Posthumous 18 A Minor
Coleridge,Taylor 24 Negro Melodies Steal Away to Jesus F major
Cons,Russian Ballet Dances Suite 3 Sleigh Bell Dance A minor
DAragona,Studies No4 Ab minor
DAragona,Studies No9 B minor
De Falla,La Vida Breve Danza A minor
De Falla,Ritual Fire Dance C major
Debussy,Arabesque 62 1 G Major
Debussy,Arabesque 66 1 E Major
Debussy,Children's Corner 113 2 Bb Major
Debussy,Children's Corner 113 6 Eb Major
Debussy,Estampes 100 2 A Major
Debussy,Estampes 100 3 B Major
Debussy,Etude 136 10 C# Minor
Debussy,Etude 136 12 A Major
Debussy,Etude 136 2 Bb Minor
Debussy,Etude 136 3 D Minor
Debussy,Etude 136 9 G Minor
Debussy,Images 110 1 Db Major
Debussy,Images 110 2 G# Minor
Debussy,Images 110 3 C Major
Debussy,Images 111 1 F# Major
Debussy,Images 111 3 E Minor
Debussy,La mer 109 I B Minor
Debussy,L'isle joyeuse 106 A Major
Debussy,Mandoline 29 C Major
Debussy,Nocturne 91 3 B Major
Debussy,Petite suite 65 II E Major
Debussy,Piano trio 3 II B Minor
Debussy,Piano trio 3 III G Major
Debussy,Prelude a l'apresmidi d'un faune 86 E Major
Debussy,Premiere rapsodie 116 Bb Minor
Debussy,Reverie 68 F Major
Debussy,Suite 75 II A Minor
Debussy,Suite 75 III Db Major
Delius,On Hearing the First Cuckoo in Spring C major
Dupre,Three Preludes and Fugues for Organ Prelude in B Op7No1 C# minor
Dvorak,American Suite Op98 D minor
Dvorak,Biblical Songs 5 I will sing new songs Op99No5 A major
Dvorak,Czech Suite 1 PreludiumPastorale Op39 D major
Dvorak,Czech Suite 2 Polka Op39 D minor
Dvorak,Czech Suite 3 SousedskaMinuetto Op39 Bb major
Dvorak,Czech Suite 4 RomanceRomanza Op39 G major
Dvorak,Dumky 3 Andante Vivace non troppo A major
Dvorak,Dumky 4 Andante moderato quasi tempo di marcia Allegretto scherzando D minor
Dvorak,Dumky 5 Allegro Eb major
Dvorak,Dumky 6 Lento maestoso Vivace C minor
Dvorak,Gypsy Songs Op55No1 D minor
Dvorak,Humoresque in A Op101No5 A minor
Dvorak,Humoresque in Ab Op101No3 Ab major
Dvorak,Humoresque in Bb Op101No8 Bb minor
Dvorak,Humoresque in Eb Op101No1 Eb minor
Dvorak,Legends 3 Allegro Giusto Op59 G minor
Dvorak,Legends 5 Allegro Giusto Op59 Ab major
Dvorak,Legends 6 Allegro con Moto Op59 C# minor
Dvorak,Legends 7 Allegretto Grazioso Op59 A major
Dvorak,Legends 8 Un poco allegretto e grazioso Op59 F major
Dvorak,Legends 9 Andante con moto Op59 D major
Dvorak,Poetic Tone Pictures 5 Peasant Ballad Op85 Bb major
Dvorak,Poetic Tone Pictures 8 Goblin's Dance Op85 Ab major
Dvorak,Poetic Tone Pictures 9 Serenade Op85 C major
Dvorak,Quartet in Ab 3 Lento e Molto Cantabile Op105No14 F major
Dvorak,Quartet in Eb Romanze Op51No10 Bb major
Dvorak,Rusalka I. O Silver Moon F minor
Dvorak,Rusalka Polonaise Eb major
Dvorak,Serenade for 10 wind instruments cello double bass in D 1 Moderato Op44 D minor
Dvorak,Serenade for Strings in E 1 Modeato Op22 E major
Dvorak,Serenade for Strings in E 4 Larghetto Op22 A major
Dvorak,Silhouettes in C# Op8No1No12 C# minor
Dvorak,Silhouettes in F# Op8No5 F# major
Dvorak,Slavonic Dances in A Op46No5 A major
Dvorak,Slavonic Dances in Ab Op46No3 Ab major
Dvorak,Slavonic Dances in B Op72No1 B major
Dvorak,Slavonic Dances in C Op46No1 C major
Dvorak,Slavonic Dances in C Op46No7 C minor
Dvorak,Slavonic Dances in E Op46No2 E minor
Dvorak,Slavonic Dances in G Op46No8 G minor
Dvorak,Slavonic Dances Op72No2 E minor
Dvorak,Slavonic Dances Op72No3 F major
Dvorak,Slavonic Dances Op72No6 Bb minor
Dvorak,Slavonic Dances Op72No7 C major
Dvorak,Slavonic Dances Op72No8 Ab major
Dvorak,String Quartet in C 2 Poco adagio e molto cantabile Op61No11 F major
Dvorak,Symphony in D 2 Andante sostenuto e molto cantabile Op13No4 G minor
Dvorak,Symphony in E 2 Largo Op95No9 Db major
Dvorak,Symphony in F 3 Scherzo Allegro Scherzando Op76No5 Bb major
Elgar,Chanson de Matin G major
Elgar,Concerto for Violin in B 2 Andante Bb major
Elgar,Symphony in Ab 4 Lento Allegro Op55No1 D major
Faure,Nocturne Op104No11 F# minor
Faure,Nocturne Op97No9 B minor
Faure,Nocturne Op99No10 E minor
Faure,Prelude Op103No2 C#minor
Faure,Prelude Op103No3 G minor
Faure,Prelude Op103No5 D minor
Faure,Prelude Op103No8 C minor
Fisher,The Robins Return Ab Major
Gibel,Concert Paraphrase on Old Black Joe D# major
Handel,Air and Variations from Suite 5 HMV430 E Major
Handel,Air HWV 328 D Minor
Handel,Allegro HWV 313 Bb Major
Handel,Allegro HWV 314 G Major
Handel,Allegro HWV 315 F Major
Handel,Allegro HWV 319 G Major
Handel,Allegro HWV 321 E Minor
Handel,Allegro HWV 322 A Minor
Handel,Allegro HWV 323 D Major
Handel,Allegro HWV 325 Bb Major
Handel,Allegro HWV 348 D Minor
Handel,Allegro HWV 371 D Major
Handel,Allegro HWV 427 F Major
